,title,author,price
0,INTO THE MAGIC SHOP เราทุกคนล้วนมีร้านเวทมนตร์อยู่ในใจ,"ดร.เจมส์ อาร์. โดตี(James R. Doty, M.D.)",220.50 บาท
1,วิธีเอาตัวรอดในวงล้อมคนงี่เง่า SURROUNDED BY IDIOTS,โธมัส เอริคสัน (Thomas Erikson),301.50 บาท
2,อกเกือบหัก แอบรักคุณสามี โดยนาวาร้อยกวี (ละครช่อง3),นาวาร้อยกวี,198.00 บาท
3,ปาฏิหาริย์ร้านชำของคุณนามิยะ โดย ฮิงาชิโนะ เคโงะ,ฮิงาชิโนะ เคโงะ (Keigo Higashino),265.50 บาท
4,ศาสตร์แห่งการพยากรณ์ ปี 2565,ทศพร ศรีตุลา,224.10 บาท
5,ฮัสกี้หน้าโง่กับอาจารย์เหมียวขาวของเขา เล่ม 1 (พิมพ์ใหม่),โร่วเปาปู้ชือโร่ว (rou bao bu chi rou),382.50 บาท
6,เพราะเรา....คู่กัน เล่ม 1-2 (2 เล่มจบ),JittiRain,683.10 บาท
7,เราเติบโตขึ้นในทุกๆ วัน,คิดมาก,211.50 บาท
8,ATOMIC HABITS เพราะชีวิตดีได้กว่าที่เป็น,James Clear,256.50 บาท
9,ปรมาจารย์ลัทธิมาร นิยาย เล่ม 1,โม่เซียงถงซิ่ว,333.00 บาท
10,ร้านขายเวลา (พิมพ์ครั้งที่ 4),คิมซ็อนย็อง,265.50 บาท
11,เลิกเป็นคนดี แล้วจะมีความสุข,โกะโด โทคิโอะ (Tokio Godo),202.50 บาท
12,รสชาติอาหารจานครอบครัว,เอโกะ ยามากุจิ,229.50 บาท
13,ใช้คลื่นพลังบวกดึงดูดพลังสุข,Vex King (เว็กซ์ คิงส์),220.50 บาท
14,ไม่ใช่ที่ของเรา,แพท พาวเวอร์แพท,265.50 บาท
15,บางครั้งคำบอกลาก็มาในรูปแบบของคำว่า แป๊บนะ เดี๋ยวมา,อิสญะ x ไดโนเศร้า,188.00 บาท
16,You Are My Glory ดุจดวงดาวเกียรติยศ (พิมพ์ครั้งที่ 2),กู้ม่าน,373.50 บาท
17,สวัสดีครับ คุณภรรยา!,เย่ว์เซี่ยเตี๋ยอิ่ง (Yue Xia Die Ying),158.00 บาท
18,ฮัสกี้หน้าโง่กับอาจารย์เหมียวขาวของเขา เล่ม 8 (พิมพ์ใหม่),โร่วเปาปู้ชือโร่ว (rou bao bu chi rou),346.50 บาท
19,เป็นคนอ่อนไหวให้มีความสุข,ทาเคดะ ยูกิ,220.50 บาท
20,เทคนิคหลอกสมองให้เปลี่ยนตัวเองเป็นคนใหม่,Masashi Yoshii,211.50 บาท
21,ศูนย์รับฝากความเสียใจ,ซื่ออี,220.50 บาท
22,นี่เราใช้ชีวิตยากเกินไปหรือเปล่านะ,ฮาวัน (Ha Wan),265.50 บาท
23,ตัวร้ายอย่างข้า...จะหนีเอาตัวรอดยังไงดี เล่ม 1,โม่เซียงถงซิ่ว,359.10 บาท
24,เมียรักของนับพัน  เล่ม 1-2 (Box Set 2เล่มจบ),มาลีรินทร์,539.10 บาท
25,THE MIDNIGHT LIBRARY มหัศจรรย์ห้องสมุดเที่ยงคืน,แมตต์ เฮก (Matt Haig),341.10 บาท
26,A CAT'S TALE ประวัติศาสตร์แมวมอง,"แมวบาบา เล่า, พอล คูดูนาริส",293.00 บาท
27,สวรรค์ประทานพร นิยาย เล่ม 1,โม่เซียงถงซิ่ว,324.00 บาท
28,ปรมาจารย์ลัทธิมาร นิยาย เล่ม 2,โม่เซียงถงซิ่ว,333.00 บาท
29,SAPIENS เซเปียนส์ ประวัติศาสต์ฉบับกราฟิก: กำเนิดมนุษยชาติ  เล่ม 1,"ยูวัล โนอาห์ , แดวิด ,แดเนียล",355.50 บาท
30,TINY HABITS เปลี่ยนน้อยนิดเพื่อพิชิตทุกเป้าหมาย,ดร.บีเจ ฟ็อกก์,355.50 บาท
31,หลังบ้าน YouTuber,Bearhug,148.00 บาท
32,ตัวร้ายอย่างข้า...จะหนีเอาตัวรอดยังไงดี เล่ม 3 (จบ),โม่เซียงถงซิ่ว,368.10 บาท
33,ปรมาจารย์ลัทธิมาร นิยาย เล่ม 3,โม่เซียงถงซิ่ว,324.00 บาท
34,โชคดีที่มึงได้อ่าน,"เกตุเสพย์สวัสดิ์ ปาลกะวงศ์ ณ อยุธยา , น้าเน็ก",242.10 บาท
35,NIKSEN ศิลปะของการไม่ทำอะไรเลย,"ลาฟไรห์เซน, แอนเนท",220.50 บาท
36,12 กฎที่ใช้ได้ตลอดชีวิต 12 RULES FOR LIFE,จอร์แดน บี ปีเตอร์สัน Jordan B. Peterson,355.50 บาท
37,สิ่งมหัศจรรย์ที่เกิดขึ้นเมื่อฉันลองตื่นก่อนโลก,คิมยูจิน,202.50 บาท
38,อย่าเป็นคนเก่งที่คุยไม่เป็น,ยาซุดะ ทาดาชิ,198.00 บาท
39,แมวนักพยากรณ์แห่งร้านกาแฟจันทร์เต็มดวง (พิมพ์ครั้งที่ 2),ไม โมจิทสึกิ,229.50 บาท
40,เรื่องที่แบกไว้เธอจะวางก็ได้นะ,Kii,166.50 บาท
41,ร้านมหัศจรรย์สำหรับคนไม่หยุดฝัน DallaGut Dream Store,อีมีเย,341.10 บาท
42,โตขึ้นมาเป็นความสุข,คิดมาก,180.00 บาท
43,ตัวร้ายอย่างข้า...จะหนีเอาตัวรอดยังไงดี เล่ม 2,โม่เซียงถงซิ่ว,377.10 บาท
